beruf,isco_code,beschaeftigte_1000,frauen_pct,branche,lohn_median_chf,qualifikation,esco_uri,esco_titel,esco_beschreibung,score_gesamt,score_digital,score_wiederholbarkeit,score_physisch,score_kreativitaet,score_sozial,haupt_risiko,zeitrahmen,begruendung,delta_branche,delta_lohn,score_ch,adaptabilitaet,beschreibung_hash,lohnklasse
Musiklehrer,2354,9.1,52.6,Bildung,108000,Tertiär,http://data.europa.eu/esco/occupation/f235bc5a-dbf6-4f9e-bbdb-cf313d32b75b,Lehrkraft für Musik,"Lehrkräfte für Musik unterrichten Schülerinnen und Schüler in lockerer Atmosphäre in verschiedenen musikalischen Gattungen und Ausdrucksformen, z. B. klassische Musik, Jazz, Volksmusik, Blues, Rock, Elektro usw. Sie vermitteln den Schülerinnen und Schülern einen Überblick über Musikgeschichte und -repertoire, verfolgen jedoch in erster Linie einen praxisorientierten Kursansatz. Dabei unterstützen sie die Schülerinnen und Schüler bei der Erprobung verschiedener Stile und Techniken auf dem Musikinstrument ihrer Wahl und ermutigen sie, ihren eigenen Stil zu entwickeln. Sie planen, leiten und produzieren musikalische Darbietungen und koordinieren die technische Produktion.",2.1,2.5,3.0,2.0,1.5,1.5,"Theoretische Musikvermittlung (Musikgeschichte, Notenlehre, Gehörbildung) könnte durch KI-Apps und adaptive Lernsysteme teilweise ergänzt oder ersetzt werden; auch automatisiertes Feedback auf Aufnahmen ist denkbar",>10 Jahre,"Der Musikunterricht ist tief in physischer Präsenz, emotionaler Beziehung zwischen Lehrperson und Schülerin/Schüler sowie individueller Kreativitätsförderung verankert – alles Bereiche, in denen KI kaum substituieren kann. In der Schweiz ist Musikbildung stark schulisch und kulturell verankert (z. B. Jugend und Musik, kantonale Musikschulen), was den menschlichen Unterricht institutionell schützt. Digitale Tools wie Noten-Apps oder KI-Feedback-Systeme werden eher als Ergänzung wirken, nicht als Ersatz.",-0.2,0.2,2.1,6.7,ec8657ea14c4,100k–150k CHF
Sprachlehrer,2353,8.8,86.0,Bildung,108000,Tertiär,http://data.europa.eu/esco/occupation/59c724f9-0cfe-4d51-8a7f-9ee182d9e2c2,Lehrkraft für Gebärdensprache,"Lehrkräfte für Gebärdensprache bringen Schülerinnen und Schüler jedes Alters die Gebärdensprache bei. Sie unterrichten Schülerinnen und Schüler mit oder ohne sonderpädagogische Lernbedürfnisse wie Gehörlosigkeit. Bei der Unterrichtsgestaltung verwenden sie verschiedene Materialien, machen Gruppenarbeit und beurteilen die individuellen Leistungen anhand von Aufgaben und Prüfungen.",2.8,3.5,4.0,2.0,3.5,1.5,Automatisierte Übungsplattformen und KI-gestützte Gebärdensprach-Erkennungssysteme könnten standardisierte Übungseinheiten und Basis-Feedback übernehmen; auch Übersetzungstools für Deutschschweizer Gebärdensprache (DSGS) sind denkbar.,>10 Jahre,"Gebärdensprachunterricht erfordert intensive körperliche Präsenz, feine motorische Korrektur und empathische Anpassung an Lernende – insbesondere bei gehörlosen oder sonderpädagogischen Schülerinnen und Schülern. In der Schweiz bestehen zudem vier anerkannte Gebärdensprachen (DSGS, LSF, LIS, rätoromanisch), was die sprachliche und kulturelle Komplexität für KI-Systeme erheblich erhöht. Die tiefe menschliche Beziehungsebene und die Notwendigkeit physischer Rückmeldung zur Handform und Mimik machen eine weitreichende Automatisierung in absehbarer Zeit unwahrscheinlich.",-0.2,0.2,2.8,6.9,0fe00fcb29f2,100k–150k CHF
Kassierer und Kartenverkäufer,5230,8.8,85.1,Detailhandel,56000,Sekundär II,http://data.europa.eu/esco/occupation/2b871272-bd61-4206-bd1a-0b96d7023098,Kassierer/Kassiererin,"Kassierer bedienen die Registrierkasse, nehmen Zahlungen von Kunden entgegen, stellen Kassenzettel aus und geben Wechselgeld heraus.",7.2,7.5,9.0,4.0,8.5,5.5,"Selbstbedienungskassen, kontaktlose Zahlungssysteme und vollautomatisierte Checkout-Lösungen (wie Amazon Go) können Zahlungsabwicklung, Kassenzettelausstellung und Wechselgeldausgabe vollständig übernehmen",3-5 Jahre,"In der Schweiz sind Selbstbedienungskassen bei Migros, Coop und Manor bereits weit verbreitet, und der Trend zur bargeldlosen Zahlung via TWINT und Kreditkarte beschleunigt die Automatisierung weiter. Die hohen Schweizer Lohnkosten erhöhen den wirtschaftlichen Anreiz für Detailhändler, in Automatisierungslösungen zu investieren. Ein Restrisiko verbleibt durch die gesetzlich vorgeschriebene Bargeldannahme sowie durch Kundensegmente, die persönliche Betreuung bevorzugen.",0.2,-0.2,7.2,4.7,366fc6096820,< 60k CHF
Postverteiler und -sortierer,4412,8.7,43.4,Verwaltung,62000,Sekundär II,http://data.europa.eu/esco/occupation/511f366c-ba41-4826-9622-8cda6d6e3b91,Postabfertiger/Postabfertigerin,"Postabfertiger übernahmen das Sortieren, Erfassen und andere Aufgaben in Verbindung mit Postdiensten von Postämtern oder verwandten Organisationen. Sie führen Aufzeichnungen über die ein- und ausgehenden Versandstücke und Briefe.",6.8,5.5,9.0,3.5,8.5,8.0,"Automatisierte Sortiersysteme mit optischer Zeichenerkennung (OCR), Barcode-Scanner und Robotik können Sortier- und Erfassungsaufgaben vollständig übernehmen; digitale Erfassungssysteme ersetzen manuelle Aufzeichnungen",3-5 Jahre,"Die Schweizerische Post hat bereits stark in automatisierte Sortierzentren (z.B. Härkingen, Eclépens) investiert und setzt OCR- sowie Barcode-Technologien großflächig ein. Das sinkende Briefvolumen in der Schweiz verstärkt den wirtschaftlichen Druck zur weiteren Automatisierung, während gleichzeitig die Paketmengen steigen und dort Robotik-Lösungen zunehmend eingesetzt werden. Der Beruf ist durch hohe Wiederholbarkeit und klare Regelstrukturen besonders exponiert, jedoch erfordert die physische Handhabung von Paketen unterschiedlicher Größe und Form noch menschliche Flexibilität.",0.1,0.0,6.8999999999999995,4.7,b19f1de4bf68,60k–100k CHF
Medizintechniker im Bereich bildgebende Verfahren und Therapiegeräte,3211,8.5,72.5,Gesundheit,68000,Sekundär II,http://data.europa.eu/esco/occupation/24a170fc-be68-43a5-93f1-7a5c31c6062b,Konstruktionsmitarbeiter in der Medizintechnik/Konstruktionsmitarbeiterin in der Medizintechnik,"Konstruktionsmitarbeiter in der Medizintechnik fertigen Instrumente, Maschinen und Geräte, die zur Vorbeugung, Diagnose oder Behandlung medizinischer Erkrankungen verwendet werden können. Medizinprodukte können sowohl nicht elektrisch betrieben werden, wie z. B. Rohre, Nadeln, Drainage-Sets und sterile Pipetten, als auch elektrisch, z. B. Herzschrittmacher, MRT-Geräte und Röntgengeräte. Einige arbeiten unter Umständen auch im Bereich der Herstellung von medizinischen Möbeln, wie Krankenhausbetten und Operationstischen.",4.2,4.0,6.0,3.0,4.5,6.5,"Automatisierung von Fertigungsschritten (CNC-Bearbeitung, Qualitätskontrolle via Computer Vision), CAD/CAM-gestützte Konstruktionsoptimierung und digitale Dokumentationsprozesse nach MDR/MDD-Anforderungen",5-10 Jahre,"In der Schweizer Medizintechnikbranche (Standorte wie Zürich, Zug, Basel) sind hohe Regulierungsanforderungen (Swissmedic, EU-MDR) und Präzisionsfertigungsstandards zentrale Hürden für vollständige Automatisierung. Während repetitive Fertigungsschritte und Qualitätsprüfungen zunehmend automatisiert werden, erfordern Gerätewartung, Fehlerdiagnose komplexer Systeme (MRT, Linearbeschleuniger) und die enge Zusammenarbeit mit Ingenieuren und klinischem Personal weiterhin menschliche Expertise. Der Fachkräftemangel in der Schweiz könnte Automatisierungsinvestitionen beschleunigen, gleichzeitig bleibt die Verantwortung für sicherheitskritische Medizinprodukte ein regulatorischer Anker gegen vollständige KI-Substitution.",-0.3,0.0,3.9,4.3,ac046c0de3b4,60k–100k CHF
Chemo- und Physikotechniker,3111,8.4,56.1,Industrie,88000,Sekundär II,http://data.europa.eu/esco/occupation/a9bcc9e0-5be7-47a0-818b-acad10fe90d9,Physikotechniker/Physikotechnikerin,"Physikotechniker überwachen physikalische Prozesse und führen Tests für die Herstellung, für den Unterricht oder für wissenschaftliche Zwecke durch. Sie arbeiten in Labors, Schulen oder Produktionsstätten, in denen sie Physiker bei ihrer Arbeit unterstützen. Physikotechniker führen technische oder praktische Arbeiten aus und berichten über ihre Ergebnisse.",4.7,6.0,6.5,3.5,5.5,7.0,"Automatisierte Datenerfassung, -analyse und Berichterstattung von Messergebnissen sowie Steuerung standardisierter Labortests durch Robotik und KI-gestützte Analysesysteme",5-10 Jahre,"In der Schweizer Chemi- und Pharmaindustrie (z.B. Novartis, Roche, Lonza) werden zunehmend automatisierte Laborsysteme und KI-gestützte Prozessüberwachung eingesetzt, die repetitive Messtätigkeiten ersetzen können. Die starke physische Laborkomponente – Handhabung von Geräten, Probennahme, Kalibrierung – sowie die notwendige situative Urteilskraft bei unerwarteten Versuchsverläufen schützen den Beruf vor vollständiger Automatisierung. Die Rolle verschiebt sich wahrscheinlich hin zur Systemüberwachung und Qualitätssicherung automatisierter Prozesse, was eine Anpassung der Qualifikationen erfordert.",-0.1,0.0,4.6000000000000005,5.3,e374b54b5614,60k–100k CHF
"Bürokräfte in der Statistik, im Finanz- und Versicherungswesen",4312,8.2,73.7,Verwaltung,65000,Sekundär II,http://data.europa.eu/esco/occupation/ac8b3cd1-a127-4e6a-8208-5cfcf7111955,Statistiker/Statistikerin,"Statistiker/Statistikerin erheben, erfassen und analysieren vor allem quantitative Informationen aus einer Vielzahl von Bereichen. Sie analysieren statistische Studien zu Bereichen wie Gesundheit, Demografie, Finanzen, Wirtschaft und stützen sich dabei auf Muster und Analysen.",7.4,9.0,7.5,8.5,5.5,7.5,"Automatisierte Datenerhebung, -bereinigung und -auswertung durch KI-Tools (z.B. automatisierte Berichterstellung, ML-basierte Mustererkennung in Finanz- und Versicherungsdaten, Risikomodellierung)",3-5 Jahre,"In der Schweiz sind Finanz- und Versicherungsunternehmen (UBS, Swiss Re, Zurich) bereits stark in KI-gestützte Datenanalyse investiert, was repetitive Bürotätigkeiten wie Dateneingabe, Standardreporting und einfache statistische Auswertungen zunehmend automatisiert. Während hochwertige statistische Modellierung und Interpretation weiterhin menschliche Expertise erfordern, sind insbesondere Bürokräfte mit Routineaufgaben in der Datenpflege und Standardberichterstattung stark exponiert. Das Bundesamt für Statistik (BFS) und private Akteure treiben Digitalisierungsprojekte aktiv voran, was den Transformationsdruck in diesem Segment erhöht.",0.1,0.0,7.5,5.5,680679f080b4,60k–100k CHF
"Metzger, Fischhändler und -verarbeiter und verwandte Berufe",7511,8.1,22.4,Landwirtschaft,54000,Sekundär II,http://data.europa.eu/esco/occupation/c0386702-0699-4550-920b-1f7027c9a3d9,Fischverarbeiter/Fischverarbeiterin,"Fischverarbeiter verarbeiten Fische und Schalentiere nach den geltenden Hygiene-, Lebensmittel- und Handelsvorschriften. Sie führen Tätigkeiten zur Fischverarbeitung durch und üben auch Einzelhandelstätigkeiten aus.",3.2,1.5,6.5,2.0,6.5,5.5,"Automatisierte Zuschnitt- und Filetiermaschinen sowie computergesteuerte Sortiersysteme könnten repetitive Verarbeitungsschritte wie Filetieren, Entschuppen und Portionieren in industriellen Betrieben ersetzen",5-10 Jahre,"Der Beruf ist stark physisch und handwerklich geprägt, was eine vollständige KI-Automatisierung erheblich erschwert. In der Schweiz sind viele dieser Fachkräfte in kleineren Metzgereien und Fischhändlerbetrieben tätig, wo persönliche Kundenbeziehungen, Produktberatung und handwerkliche Qualität zentrale Alleinstellungsmerkmale sind. Industrielle Teilautomatisierung in Grossbetrieben (z.B. Coop/Migros-Verarbeitungszentren) ist realistischer als eine vollständige Substitution, da Sensorik und Robotik für unregelmässige Fischanatomie noch nicht kosteneffizient ausgereift sind.",0.0,-0.2,3.0,3.5,309a9c7facad,< 60k CHF
Techniker für den Betrieb von Informations- und Kommunikationstechnologie,3511,8.0,21.8,ICT,85000,Sekundär II,http://data.europa.eu/esco/occupation/3e7bf729-4442-4b9f-ad5e-83111963795c,IKT-Techniker/IKT-Technikerin,"IKT-Techniker installieren, warten, reparieren und bedienen Informationssysteme und IKT-bezogene Geräte (Laptops, Desktops, Server, Tablets, Smartphones, Kommunikationsgeräte, Drucker und alle EDV-zugehörigen Peripherienetze) sowie Software jeder Art (Treiber, Betriebssysteme, Anwendungen).",5.2,7.5,6.5,3.5,5.5,4.5,"Automatisierte Diagnose- und Fehlerbehebungssysteme (AIOps), Remote-Monitoring und Self-Healing-Infrastrukturen könnten Routine-Support-Aufgaben wie Software-Installation, Treiber-Updates und Standard-Fehlerbehebung weitgehend ersetzen",3-5 Jahre,"In der Schweiz treiben grosse IT-Unternehmen und der stark digitalisierte KMU-Sektor die Einführung von Remote-Management-Plattformen und KI-gestützten Helpdesk-Systemen voran, was Routinetätigkeiten zunehmend automatisiert. Der physische Anteil der Arbeit – Hardware-Installation, Vor-Ort-Reparaturen und Gerätewartung – schützt den Beruf jedoch vor vollständiger Automatisierung, da insbesondere in der dezentralen Schweizer Unternehmenslandschaft persönliche Betreuung geschätzt wird. Mittelfristig ist eine Verschiebung hin zu komplexeren, beratenden Tätigkeiten wahrscheinlich, während der klassische First-Level-Support stark unter Druck gerät.",-0.2,0.0,5.0,5.9,ae702d7d94af,60k–100k CHF
Netzwerkingenieur/in,2523,8.0,8.0,ICT,115000,Tertiär,http://data.europa.eu/esco/occupation/cf2b03cd-feb7-4f47-90f6-ff1ed6016d3d,IT-Netzwerkingenieur/IT-Netzwerkingenieurin,"IT-Netzwerkingenieure implementieren, warten und unterstützen Computernetzwerke. Außerdem modellieren, analysieren und planen sie diese Netzwerke. Bisweilen konzipieren sie auch Maßnahmen zur Netzwerk- und Computersicherheit. Unter Umständen recherchieren sie, welche Hardware und Software für ein Netzwerk geeignet ist, und geben entsprechende Empfehlungen ab.",5.8,8.5,6.0,4.5,5.5,6.0,"Automatisierte Netzwerküberwachung, Fehlerbehebung (AIOps), Konfigurationsverwaltung und Anomalieerkennung durch KI-gestützte Netzwerkmanagementsysteme wie Cisco AI Network Analytics oder Juniper Mist AI",3-5 Jahre,"In der Schweiz mit ihrer hohen Dichte an Finanzinstituten, Pharmaunternehmen und internationalen Organisationen sind Netzwerkingenieure stark gefragt, doch repetitive Aufgaben wie Monitoring, Konfiguration und Troubleshooting werden zunehmend durch KI-Plattformen übernommen. Die physische Komponente (Hardware-Installation, Datacenter-Arbeit) und die Notwendigkeit, komplexe Sicherheitsanforderungen im regulierten Schweizer Umfeld (FINMA, DSG) zu verstehen, verzögern eine vollständige Automatisierung. Der Beruf wird sich eher in Richtung KI-Systemüberwachung und strategische Netzwerkarchitektur transformieren als vollständig ersetzt zu werden.",-0.2,0.2,5.8,8.3,de7c9d21a6e9,100k–150k CHF
Telematiker/in EFZ,3522,8.0,5.0,ICT,80000,Sekundär II,http://data.europa.eu/esco/occupation/5d46e448-b6bb-48e5-b245-5aad68e06085,Brennschneider/Brennschneiderin,"Brennschneider übernehmen die Einrichtung und Bedienung von Maschinen, die dafür konstruiert sind, überschüssiges Material von einem Metallwerkstück mit einem Brenner zu entfernen bzw. zu verbrennen. Dabei wird das Material bis zu seiner Entzündungstemperatur erhitzt und dann infolge einer Reaktion mit einem Sauerstoffstrom in ein Metalloxid umgewandelt, das als Schlacke aus der Fuge im Werkstück abfließt.",3.2,2.0,6.5,2.0,5.0,6.5,Automatisierte CNC-Brennschneidmaschinen und robotergestützte Systeme könnten repetitive Schneidvorgänge übernehmen; KI-gestützte Qualitätskontrolle und Prozessoptimierung könnten Einrichtungsaufgaben teilweise ersetzen,5-10 Jahre,"Der Beruf Telematiker/in EFZ unterscheidet sich stark von der Beschreibung des Brennschneiders – die Bewertung bezieht sich auf die angegebene Tätigkeit (Brennschneiden). Brennschneiden ist bereits heute stark durch CNC-Automatisierung erfasst, jedoch erfordern Einrichtung, Wartung, Qualitätskontrolle vor Ort und Anpassungen an unregelmässige Werkstücke weiterhin menschliches Urteilsvermögen. In der Schweiz treibt der Fachkräftemangel im Metallbereich die Automatisierung voran, doch komplexe Einzelanfertigungen und KMU-Strukturen verlangsamen den vollständigen Ersatz. Die hohe physische Präsenz und situative Anpassungsfähigkeit schützen den Beruf mittelfristig vor vollständiger KI-Automatisierung.",-0.2,0.0,3.0,4.7,ffc68e377693,60k–100k CHF
Drogist/in,3256,8.0,75.0,Detailhandel,62000,Sekundär II,http://data.europa.eu/esco/occupation/5d46e448-b6bb-48e5-b245-5aad68e06085,Brennschneider/Brennschneiderin,"Brennschneider übernehmen die Einrichtung und Bedienung von Maschinen, die dafür konstruiert sind, überschüssiges Material von einem Metallwerkstück mit einem Brenner zu entfernen bzw. zu verbrennen. Dabei wird das Material bis zu seiner Entzündungstemperatur erhitzt und dann infolge einer Reaktion mit einem Sauerstoffstrom in ein Metalloxid umgewandelt, das als Schlacke aus der Fuge im Werkstück abfließt.",2.8,1.5,5.5,2.0,4.0,2.5,"Teilweise Automatisierung der maschinellen Einrichtungsparameter (Sauerstoffdruck, Schnittgeschwindigkeit) durch CNC-gesteuerte Systeme; Qualitätskontrolle via Bildverarbeitung",5-10 Jahre,"Brennschneiden ist eine stark physisch geprägte Tätigkeit in industriellen Umgebungen, bei der Maschinen manuell eingerichtet und überwacht werden müssen – vollständige Automatisierung bleibt wegen variabler Werkstücke und Sicherheitsanforderungen komplex. In der Schweizer Metall- und Fertigungsindustrie (MEM-Sektor) werden zwar CNC-Plasma- und Laserschneidsysteme zunehmend eingesetzt, jedoch erfordert die Bedienung, Fehlerkorrektur und Anpassung an unregelmässige Materialien weiterhin menschliche Expertise. Der Beruf ist eher durch technologische Substitution durch präzisere Laserschneidtechnologie als durch KI-Automatisierung im engeren Sinne bedroht.",0.2,0.0,3.0,3.6,d97fee2858a1,60k–100k CHF
Ökonom/in / Volkswirt/in,2631,8.0,40.0,Finanzen,120000,Tertiär,http://data.europa.eu/esco/occupation/99492920-e5a5-4dba-9e5a-93193147198c,Volkswirtschaftler/Volkswirtschaftlerin,"Volkswirtschaftler führen Forschungsarbeiten durch und entwickeln Wirtschaftstheorien für mikroökonomische oder makroökonomische Analysen. Sie untersuchen Trends, analysieren statistische Daten und verwenden in gewissem Umfang mathematische Wirtschaftsmodelle, um Unternehmen, Regierungen und damit verbundene Einrichtungen zu beraten. Sie bieten Beratung zu Themen wie Machbarkeit von Produkten, Trendprognosen, aufstrebenden Märkten, Steuerpolitik und Verbrauchertrends.",6.4,9.0,5.5,8.5,4.5,5.5,"Automatisierung von Datenanalyse, Erstellung von Wirtschaftsberichten, Trendprognosen und statistischen Modellierungen; KI-Tools können grosse Datensätze (z.B. SNB-Daten, BFS-Statistiken) schneller verarbeiten und Standardberichte generieren",3-5 Jahre,"In der Schweiz, wo Ökonomen bei SNB, SECO, Grossbanken und Beratungsfirmen tätig sind, übernimmt KI zunehmend Routineaufgaben wie Datenaufbereitung, Konjunkturprognosen und Literatursynthesen. Die eigentliche Wertschöpfung verbleibt jedoch in der Interpretation komplexer Zusammenhänge, der Beratung von Entscheidungsträgern (z.B. Bundesrat, Unternehmensführungen) und der Entwicklung neuer theoretischer Ansätze. Der hohe Digitalisierungsgrad der Tätigkeit erhöht die KI-Exposition erheblich, aber die Kombination aus institutionellem Kontext, politischer Urteilsfähigkeit und Stakeholder-Kommunikation schützt den Kernberuf mittelfristig.",0.3,0.2,6.9,8.4,4cac06cd1d59,100k–150k CHF
Hochbauzeichner/in EFZ,3112,8.0,15.0,Bau,85000,Sekundär II,http://data.europa.eu/esco/occupation/364cb5ca-3002-425f-b815-aefa513df78a,Bauzeichner Architektur/Bauzeichnerin Architektur,Bauzeichner Architektur fertigen nach den Spezifikationen und Vorgaben von Architekten Zeichnungen an. Dabei verwenden sie computergestützte Instrumente und Software oder konventionelle Methoden wie Papier und Bleistift.,6.8,8.5,7.5,7.0,5.0,7.5,"Automatische Generierung von Bauplänen, Detailzeichnungen und Schnittdarstellungen durch KI-gestützte CAD/BIM-Systeme (z.B. Autodesk AI, Speckle), die aus Architektenspezifikationen direkt normkonforme Zeichnungen nach SIA-Normen erzeugen",3-5 Jahre,"Hochbauzeichner/innen arbeiten bereits heute überwiegend digital mit BIM-Software, was ihre Tätigkeiten für KI-Automatisierung gut zugänglich macht. In der Schweiz sind strenge SIA-Normen und kantonale Bauvorschriften zwar komplex, aber regelbasiert – ideal für KI-Systeme. Die kreative Komponente ist begrenzt, da Zeichner primär Vorgaben von Architekten umsetzen; jedoch bleiben Qualitätskontrolle, Koordination mit Fachplanern und die Interpretation mehrdeutiger Bauvorgaben vorerst menschliche Aufgaben.",0.0,0.0,6.8,5.4,c341df273f6c,60k–100k CHF
IT-Sicherheitsspezialist/in,2529,8.0,14.0,ICT,135000,Tertiär,http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,IT-Sicherheitsadministrator/IT-Sicherheitsadministratorin,"IT-Sicherheitsadministratoren planen und implementieren Sicherheitsmaßnahmen zum Schutz von Informationen und Daten vor unbefugtem Zugriff, vorsätzlichem Angriff, Diebstahl und Datenkorruption.",5.8,9.0,5.5,7.5,3.5,5.0,"Automatisierte Bedrohungserkennung, Log-Analyse, Vulnerability-Scanning und Incident-Response-Workflows können durch KI-gestützte SIEM- und SOAR-Systeme weitgehend übernommen werden; regelbasierte Sicherheitsaufgaben wie Patch-Management und Compliance-Checks sind stark automatisierbar.",3-5 Jahre,"In der Schweiz, mit ihrer hohen Dichte an Finanz-, Pharma- und kritischen Infrastrukturbetreibern sowie strengen Datenschutzanforderungen (nDSG), steigt der Bedarf an IT-Sicherheit kontinuierlich – KI übernimmt zunehmend repetitive Überwachungs- und Analyseaufgaben, während kreative Aspekte wie Angriffssimulation, Zero-Day-Analyse und strategische Sicherheitsplanung menschliche Expertise erfordern. Der Fachkräftemangel in der Schweizer Cybersecurity-Branche verlangsamt eine vollständige Automatisierung, da KI eher als Assistenztool eingesetzt wird. Mittelfristig verschiebt sich das Berufsprofil weg von Routineaufgaben hin zu strategischen, kreativen und kommunikativen Tätigkeiten.",-0.2,0.2,5.8,8.8,348515580a00,100k–150k CHF
UX/UI Designer/in,2166,8.0,38.0,ICT,110000,Tertiär,http://data.europa.eu/esco/occupation/11830794-108c-48fe-a282-2cd7a2945344,Designer von Glücks- und Wettspielen/Designerin von Glücks- und Wettspielen,"Designer von Glücks- und Wettspielen/Designerinnen von Glücks- und Wettspielen entwerfen innovative Glücks- und Wettspiele. Sie legen das Design, die Spielregeln oder die Struktur eines Spiels fest. Designer/Designerinnen von Glücks- und Wettspielen können das Spiel auch vorführen.",5.1,8.0,4.5,7.0,3.5,5.0,"Generierung von Spielkonzepten, Regelstrukturen und Prototypen durch generative KI (z.B. Midjourney, Figma AI); automatisierte A/B-Tests von UX-Flows und Spielmechaniken",3-5 Jahre,"UX/UI Designer im Glücksspielbereich kombinieren kreative Konzeptarbeit mit datengetriebenen Optimierungsprozessen – letztere sind bereits heute stark automatisierbar. In der Schweiz unterliegen Glücksspieldesigner zudem dem strengen Geldspielgesetz (BGS), was regulatorisches Fachwissen und menschliches Urteilsvermögen bei der Compliance erfordert und eine vollständige Automatisierung bremst. KI wird eher als Assistenzwerkzeug (Copilot) eingesetzt als als vollständiger Ersatz, da innovative Spielmechaniken und verantwortungsvolles Design (Player Protection) weiterhin menschliche Expertise verlangen.",-0.2,0.2,5.1,8.1,4fcb7a9d57a2,100k–150k CHF
Wirtschaftsprüfer/in,2411,8.0,35.0,Finanzen,130000,Tertiär,http://data.europa.eu/esco/occupation/1ad59946-d13e-441e-9b36-56e1df055e21,Finanzauditor/Finanzauditorin,"Finanzauditoren/Finanzauditorinnen erfassen und prüfen Finanzdaten für Kundinnen und Kunden, Organisationen oder Unternehmen. Sie stellen sicher, dass die finanziellen Aufzeichnungen korrekt geführt werden, dass die Finanzdaten frei von fehlerbedingten oder betrügerischen wesentlichen falschen Darstellungen sind, dass die Daten mathematisch korrekt sind und dass die Geschäfte wirksam und im Einklang mit den rechtlichen und aufsichtlichen Anforderungen geführt werden. Sie überprüfen Darlehensvergabe- und Kreditrichtlinien oder zahlenmäßige Posten in Datenbanken und Dokumenten und evaluieren, beraten und unterstützen bei Bedarf den Urheber des Vorgangs. Auf Grundlage ihrer Prüfung der Führung der Finanzgeschäfte (Governance) des Kunden geben sie ein Prüfungsurteil mit einem Sicherheitsgrad ab, um die Anteilinhaber, die Interessenträger und den Verwaltungsrat darüber zu informieren, ob alles in Ordnung ist.",6.8,9.2,7.5,7.5,5.5,4.5,"Automatisierte Datenanalyse, Transaktionsprüfung und Anomalieerkennung durch KI-gestützte Audit-Plattformen (z.B. vollständige Stichprobenprüfungen statt Sampling, regelbasierte Compliance-Checks nach OR/CO, FINMA-Regulatorien)",3-5 Jahre,"Routineaufgaben wie Belegprüfung, Kontenabstimmung und mathematische Kontrollen sind stark automatisierbar; führende Prüfungsgesellschaften (Big Four in Zürich/Genf) investieren bereits massiv in KI-gestützte Audit-Tools. Das Schweizer Umfeld mit strengen FINMA- und OR-Anforderungen schafft jedoch einen hohen Bedarf an menschlichem Urteil, Haftungsverantwortung und regulatorischer Interpretation. Die soziale Dimension – Vertrauensbeziehung zum Verwaltungsrat, Prüfungsurteil mit Sicherheitsgrad – bleibt mittelfristig eine menschliche Kernkompetenz.",0.3,0.2,7.3,8.6,26b75faf17ea,100k–150k CHF
Journalist/in / Redakteur/in,2641,8.0,50.0,Medien,90000,Tertiär,http://data.europa.eu/esco/occupation/db3da11f-67a0-415f-b785-81f33d3be810,Wirtschaftsjournalist/Wirtschaftsjournalistin,"Wirtschaftsjournalisten recherchieren und verfassen Artikel über Wirtschaftsthemen und -ereignisse für Zeitungen, Zeitschriften, Fernsehen und andere Medien. Sie führen Interviews und nehmen an Veranstaltungen teil.",5.8,8.5,4.5,5.0,3.5,3.0,"Automatisierte Erstellung von Standardberichten (Quartalszahlen, Börsenberichte, Sportresultate), Zusammenfassungen von Pressemitteilungen, SEO-optimierte Texte sowie Datenanalyse und -visualisierung für Wirtschaftsthemen",3-5 Jahre,"Im Schweizer Medienmarkt, der durch starke Konsolidierung (TX Group, CH Media, Ringier) und Kostendruck geprägt ist, besteht hoher Anreiz zur Automatisierung von Routinejournalismus wie Finanzberichten oder Unternehmenskennzahlen. KI-Tools wie Bloomberg Automation oder Reuters Tracer sind bereits im Einsatz, während investigativer Wirtschaftsjournalismus, der Vertrauensquellen in der Deutschschweizer Geschäftswelt erfordert, sowie mehrsprachige Kontextualisierung (DE/FR/IT) weiterhin menschliche Expertise verlangen. Der kreative, investigative und beziehungsbasierte Teil des Berufs bleibt robust, jedoch sind bis zu 30-40% der Routinetätigkeiten mittelfristig automatisierbar.",0.0,0.0,5.8,7.2,bbae4d0b1abe,60k–100k CHF
